"","country_name","country_iso2","week","category","weekly_rank","show_title","season_title","cumulative_weeks_in_top_10"
"183","Japan","JP",2022-12-18,"Films",3,"Boys Over Flowers Final: Theatrical Cut","N/A",1
"184","Japan","JP",2022-12-18,"Films",4,"And So The Baton Is Passed","N/A",6
"185","Japan","JP",2022-12-18,"Films",5,"Guillermo del Toro’s Pinocchio","N/A",2
"186","Japan","JP",2022-12-18,"Films",6,"God's Crooked Lines","N/A",1
"187","Japan","JP",2022-12-18,"Films",7,"My Name Is Vendetta","N/A",3
"188","Japan","JP",2022-12-18,"Films",8,"Kiss the Girls","N/A",1
"189","Japan","JP",2022-12-18,"Films",9,"Lady Chatterley's Lover","N/A",3
"190","Japan","JP",2022-12-18,"Films",10,"We Made a Beautiful Bouquet","N/A",8
"191","Japan","JP",2022-12-18,"TV",1,"First Love","First Love: Season 1",4
"192","Japan","JP",2022-12-18,"TV",2,"The World of the Married","The World of the Married: Season 1",2
"193","Japan","JP",2022-12-18,"TV",3,"Wednesday","Wednesday: Season 1",4
"194","Japan","JP",2022-12-18,"TV",4,"Money Heist: Korea - Joint Economic Area","Money Heist: Korea - Joint Economic Area: Season 1",5
"195","Japan","JP",2022-12-18,"TV",5,"SPY x FAMILY","SPY x FAMILY: Season 1",29
"196","Japan","JP",2022-12-18,"TV",6,"Alchemy of Souls","Alchemy of Souls: Part 2",1
"197","Japan","JP",2022-12-18,"TV",7,"Chainsaw Man","Chainsaw Man: Season 1",10
"198","Japan","JP",2022-12-18,"TV",8,"Alchemy of Souls","Alchemy of Souls: Part 1",15
"199","Japan","JP",2022-12-18,"TV",9,"JoJo's Bizarre Adventure","JoJo's Bizarre Adventure: STONE OCEAN",9
"200","Japan","JP",2022-12-18,"TV",10,"Blue Lock","N/A",5
"201","Japan","JP",2022-12-11,"Films",1,"Troll","N/A",2
"202","Japan","JP",2022-12-11,"Films",2,"My Name Is Vendetta","N/A",2
"203","Japan","JP",2022-12-11,"Films",3,"And So The Baton Is Passed","N/A",5
"204","Japan","JP",2022-12-11,"Films",4,"Lady Chatterley's Lover","N/A",2
"205","Japan","JP",2022-12-11,"Films",5,"Rambo: Last Blood","N/A",2
"206","Japan","JP",2022-12-11,"Films",6,"We Were There: First Love","N/A",1
"207","Japan","JP",2022-12-11,"Films",7,"Crisis","N/A",1
"208","Japan","JP",2022-12-11,"Films",8,"The Violence Action","N/A",4
"209","Japan","JP",2022-12-11,"Films",9,"Guillermo del Toro’s Pinocchio","N/A",1
"210","Japan","JP",2022-12-11,"Films",10,"We Were There: True Love","N/A",1
"211","Japan","JP",2022-12-11,"TV",1,"First Love","First Love: Season 1",3
"212","Japan","JP",2022-12-11,"TV",2,"The World of the Married","The World of the Married: Season 1",1
"213","Japan","JP",2022-12-11,"TV",3,"Wednesday","Wednesday: Season 1",3
"214","Japan","JP",2022-12-11,"TV",4,"JoJo's Bizarre Adventure","JoJo's Bizarre Adventure: STONE OCEAN",8
"215","Japan","JP",2022-12-11,"TV",5,"SPY x FAMILY","SPY x FAMILY: Season 1",28
"216","Japan","JP",2022-12-11,"TV",6,"Under the Queen's Umbrella","Under the Queen's Umbrella: Season 1",8
"217","Japan","JP",2022-12-11,"TV",7,"Chainsaw Man","Chainsaw Man: Season 1",9
"218","Japan","JP",2022-12-11,"TV",8,"Saving My Stupid Youth","Saving My Stupid Youth: Season 1",1
"219","Japan","JP",2022-12-11,"TV",9,"Money Heist: Korea - Joint Economic Area","Money Heist: Korea - Joint Economic Area: Season 1",4
"220","Japan","JP",2022-12-11,"TV",10,"Blue Lock","N/A",4
"221","Japan","JP",2022-12-04,"Films",1,"Troll","N/A",1
"222","Japan","JP",2022-12-04,"Films",2,"The Violence Action","N/A",3
"223","Japan","JP",2022-12-04,"Films",3,"And So The Baton Is Passed","N/A",4
"224","Japan","JP",2022-12-04,"Films",4,"My Name Is Vendetta","N/A",1
"225","Japan","JP",2022-12-04,"Films",5,"The Noel Diary","N/A",2
"226","Japan","JP",2022-12-04,"Films",6,"Rambo: Last Blood","N/A",1
"227","Japan","JP",2022-12-04,"Films",7,"Slumberland","N/A",2
"228","Japan","JP",2022-12-04,"Films",8,"Lady Chatterley's Lover","N/A",1
"229","Japan","JP",2022-12-04,"Films",9,"Weathering with You","N/A",4
"230","Japan","JP",2022-12-04,"Films",10,"We Made a Beautiful Bouquet","N/A",7
"231","Japan","JP",2022-12-04,"TV",1,"First Love","First Love: Season 1",2
"232","Japan","JP",2022-12-04,"TV",2,"Wednesday","Wednesday: Season 1",2
"233","Japan","JP",2022-12-04,"TV",3,"JoJo's Bizarre Adventure","JoJo's Bizarre Adventure: STONE OCEAN",7
"234","Japan","JP",2022-12-04,"TV",4,"Under the Queen's Umbrella","Under the Queen's Umbrella: Season 1",7
