"","country_name","country_iso2","week","category","weekly_rank","show_title","season_title","cumulative_weeks_in_top_10"
"91","South Korea","KR",2023-01-22,"TV",1,"The Glory","The Glory: Season 1",4
"92","South Korea","KR",2023-01-22,"TV",2,"Crash Course in Romance","Crash Course in Romance: Season 1",1
"93","South Korea","KR",2023-01-22,"TV",3,"Reborn Rich","N/A",10
"94","South Korea","KR",2023-01-22,"TV",4,"The Interest of Love","The Interest of Love: Season 1",3
"95","South Korea","KR",2023-01-22,"TV",5,"Red Balloon","Red Balloon: Season 1",3
"96","South Korea","KR",2023-01-22,"TV",6,"I am Solo","I am Solo: Part 9 - Part 12",28
"97","South Korea","KR",2023-01-22,"TV",7,"Mr. Sunshine","Mr. Sunshine: Season 1",13
"98","South Korea","KR",2023-01-22,"TV",8,"Awaken","Awaken: Season 1",1
"99","South Korea","KR",2023-01-22,"TV",9,"Trolley","Trolley: Season 1",2
"100","South Korea","KR",2023-01-22,"TV",10,"Alchemy of Souls","Alchemy of Souls: Part 2",6
"101","South Korea","KR",2023-01-15,"Films",1,"Confidential Assignment 2: International","N/A",2
"102","South Korea","KR",2023-01-15,"Films",2,"Life is Beautiful","N/A",1
"103","South Korea","KR",2023-01-15,"Films",3,"Alienoid Part 1","N/A",3
"104","South Korea","KR",2023-01-15,"Films",4,"Decision to Leave","N/A",3
"105","South Korea","KR",2023-01-15,"Films",5,"The Pale Blue Eye","N/A",1
"106","South Korea","KR",2023-01-15,"Films",6,"Master","N/A",1
"107","South Korea","KR",2023-01-15,"Films",7,"Daemuga","N/A",2
"108","South Korea","KR",2023-01-15,"Films",8,"Broker","N/A",3
"109","South Korea","KR",2023-01-15,"Films",9,"The Policeman's Lineage","N/A",3
"110","South Korea","KR",2023-01-15,"Films",10,"Moonfall","N/A",1
"111","South Korea","KR",2023-01-15,"TV",1,"The Glory","The Glory: Season 1",3
"112","South Korea","KR",2023-01-15,"TV",2,"Single’s Inferno","Single’s Inferno: Season 2",5
"113","South Korea","KR",2023-01-15,"TV",3,"Alchemy of Souls","Alchemy of Souls: Part 2",5
"114","South Korea","KR",2023-01-15,"TV",4,"Reborn Rich","N/A",9
"115","South Korea","KR",2023-01-15,"TV",5,"Red Balloon","Red Balloon: Season 1",2
"116","South Korea","KR",2023-01-15,"TV",6,"Diary of a Prosecutor","Diary of a Prosecutor: Diary of A Prosecutor",2
"117","South Korea","KR",2023-01-15,"TV",7,"The Interest of Love","The Interest of Love: Season 1",2
"118","South Korea","KR",2023-01-15,"TV",8,"Alchemy of Souls","Alchemy of Souls: Part 1",19
"119","South Korea","KR",2023-01-15,"TV",9,"I am Solo","I am Solo: Part 9 - Part 12",27
"120","South Korea","KR",2023-01-15,"TV",10,"Trolley","Trolley: Season 1",1
"121","South Korea","KR",2023-01-08,"Films",1,"Confidential Assignment 2: International","N/A",1
"122","South Korea","KR",2023-01-08,"Films",2,"Alienoid Part 1","N/A",2
"123","South Korea","KR",2023-01-08,"Films",3,"Decision to Leave","N/A",2
"124","South Korea","KR",2023-01-08,"Films",4,"Daemuga","N/A",1
"125","South Korea","KR",2023-01-08,"Films",5,"The Policeman's Lineage","N/A",2
"126","South Korea","KR",2023-01-08,"Films",6,"Broker","N/A",2
"127","South Korea","KR",2023-01-08,"Films",7,"The Bad Guys: Reign of Chaos","N/A",2
"128","South Korea","KR",2023-01-08,"Films",8,"On the Line","N/A",2
"129","South Korea","KR",2023-01-08,"Films",9,"Ashfall","N/A",1
"130","South Korea","KR",2023-01-08,"Films",10,"Glass Onion: A Knives Out Mystery","N/A",3
"131","South Korea","KR",2023-01-08,"TV",1,"The Glory","The Glory: Season 1",2
"132","South Korea","KR",2023-01-08,"TV",2,"Alchemy of Souls","Alchemy of Souls: Part 2",4
"133","South Korea","KR",2023-01-08,"TV",3,"Reborn Rich","N/A",8
"134","South Korea","KR",2023-01-08,"TV",4,"Single’s Inferno","Single’s Inferno: Season 2",4
"135","South Korea","KR",2023-01-08,"TV",5,"Alchemy of Souls","Alchemy of Souls: Part 1",18
"136","South Korea","KR",2023-01-08,"TV",6,"Red Balloon","Red Balloon: Season 1",1
"137","South Korea","KR",2023-01-08,"TV",7,"Diary of a Prosecutor","Diary of a Prosecutor: Diary of A Prosecutor",1
